State,State Name ,Target,Fire spending in 2019 (in dollars),wetland policy level,Number of Farms ,Net Farm Income ,Federal Insurance Premiums ,Acres of Farmland ,Government Payments ,Federal Insurance Indemnities 
AL,Alabama,1,517930,2,38800,1158344000,23224000,8300000,231056000,72421000
AK,Alaska,1,227941,1,1050,-6256000,18000,850000,12173000,14000
AZ,Arizona,3,1421345,0,19000,1360536000,44987000,26200000,86800000,66079000
AR,Arkansas,1,326947,0,42300,875399000,48740000,14000000,990103000,330074000
CA,California,3,9303879,2,384167000,11576475000,187310000,24300000,419930000,384167000
CO,Colorado,3,1361321,2,38700,1728299000,69082000,31800000,278524000,104794000
CT,Connecticut,1,606401,2,5500,240381000,2843000,380000,6891000,1711000
DE,Delaware,2,37186,2,2300,586651000,3793000,530000,36758000,5504000
FL,Florida,2,4517125,2,47400,2425372000,70672000,9700000,231961000,92383000
GA,Georgia,1,1224090,2,41500,2551283000,63830000,10200000,700198000,343978000
HI,Hawaii,1,268782,0,7300,122788000,636000,1100000,14431000,2809000
ID,Idaho,2,240857,0,24600,2529361000,42068000,11500000,165208000,46399000
IL,Illinois,1,2773155,0,71400,2592696000,284315000,27000000,1737829000,583346000
IN,Indiana,1,895467,1,56000,1834259000,158898000,14900000,878992000,389978000
IA,Iowa,1,297779,0,85300,2788919000,296798000,30600000,2065767000,333391000
KS,Kansas,1,373066,2,58500,2174205000,249027000,45700000,1409541000,316185000
KY,Kentucky,1,394642,1,74800,2170773000,54239000,12900000,328463000,136014000
LA,Louisiana,1,709982,0,27400,888210000,26342000,8000000,397810000,129501000
ME,Maine,1,179777,2,7600,261739000,3394000,1300000,15470000,4674000
MD,Maryland,1,1283272,1,12400,817568000,10850000,2000000,109681000,16834000
MA,Massachusetts,1,1430183,2,7200,206779000,1535000,500000,12685000,1967000
MI,Michigan,1,1103316,1,47000,735766000,61047000,9800000,384764000,288770000
MN,Minnesota,1,534862,2,68000,964538000,229180000,25500000,1332790000,680015000
MS,Mississippi,1,300687,2,34500,1345900000,41462000,10400000,599263000,211934000
MO,Missouri,1,917970,1,95200,2047514000,143862000,27600000,1105374000,507941000
MT,Montana,2,137765,2,26800,1401425000,58476000,58000000,323270000,106971000
NE,Nebraska,1,267548,2,45700,3926609000,214788000,44900000,1121475000,251156000
NV,Nevada,2,581776,0,3350,222980000,26702000,6100000,15320000,33095000
NH,New Hampshire,1,260816,2,4100,70780000,127000,430000,7150000,297000
NJ,New Jersey,2,928854,2,9900,646694000,1764000,750000,21452000,9600000
NM,New Mexico,2,328447,2,24800,1050528000,31469000,40000000,128785000,52137000
NY,New York,1,4002513,0,33400,1902727000,21229000,6900000,122733000,72542000
NC,North Carolina,1,1187239,1,46200,2159325000,69915000,8400000,408973000,315256000
ND,North Dakota,1,112835,0,26100,1584261000,262858000,39300000,1056132000,650520000
OH,Ohio,1,2159255,0,77800,1275736000,98757000,13600000,729002000,497655000
OK,Oklahoma,2,621863,2,77300,1671739000,61671000,34400000,440019000,139803000
OR,Oregon,3,866834,2,37200,1209292000,29348000,15800000,144997000,35304000
PA,Pennsylvania,1,877338,2,52700,2218811000,18277000,7300000,172681000,46571000
RI,Rhode Island,1,344472,2,1100,24740000,34000,60000,2102000,49000
SC,South Carolina,1,596501,1,24600,307358000,30820000,4800000,140981000,124156000
SD,South Dakota,1,75222,0,29600,2202797000,191679000,43200000,927123000,1078030000
TN,Tennessee,1,833394,1,69700,826619000,29884000,10800000,327815000,71788000
TX,Texas,2,3717385,0,247000,4746893000,354711000,126500000,1788345000,1221505000
UT,Utah,2,348975,2,17800,606354000,9501000,10700000,58635000,13694000
VT,Vermont,1,76528,2,6800,277637000,1112000,1200000,23892000,2818000
VA,Virginia,1,1527786,2,42400,973717000,21570000,7800000,149639000,48856000
WA,Washington,3,1498917,1,35600,2930851000,80324000,14600000,224742000,149004000
WV,West Virginia,1,132335,2,22900,127296000,771000,3500000,17450000,1227000
WI,Wisconsin,1,772616,0,64900,2285493000,89327000,14300000,501461000,242057000
WY,Wyoming,2,79087,0,12000,426032000,9919000,29000000,40656000,13677000